"","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","genre"
"1",0.276168,0.1089912,5.44,-24.23752,0.04674,0.93404,0.75216,0.120128,0.159788,107.4192,471642.2,"classical"
"2",0.58796,0.7146,6.68,-5.9386,0.04056,0.152072,0.0000594252,0.172532,0.54092,116.23988,195373.36,"country"
"3",0.71668,0.68396,6.08,-5.47316,0.129516,0.0980872,0.0005794208,0.149272,0.49564,116.90304,207874,"pop"
"4",0.77864,0.6346,6.48,-6.89,0.216956,0.14728432,0.00072986,0.211188,0.433184,122.16304,211657.92,"rap"
"5",0.4555,0.8185,4,-4.908,0.06155,0.0026005,0.0003426,0.0837,0.417,119.5975,241082.5,"rock"
