"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"24",0.367,0.316,9,-14.49,0,0.0429,0.927,0.779,0.113,0.242,149.089,"audio_features","0mcgXc8P5GyGtP9aY7zir6","spotify:track:0mcgXc8P5GyGtP9aY7zir6","https://api.spotify.com/v1/tracks/0mcgXc8P5GyGtP9aY7zir6","https://api.spotify.com/v1/audio-analysis/0mcgXc8P5GyGtP9aY7zir6",273562,4,"classical"
"25",0.222,0.0119,8,-32.855,1,0.0357,0.994,0.925,0.102,0.14,72.774,"audio_features","4QCewnAXjBDejsS8713Bt9","spotify:track:4QCewnAXjBDejsS8713Bt9","https://api.spotify.com/v1/tracks/4QCewnAXjBDejsS8713Bt9","https://api.spotify.com/v1/audio-analysis/4QCewnAXjBDejsS8713Bt9",161360,3,"classical"
"26",0.603,0.872,6,-3.563,1,0.0487,0.102,0,0.0505,0.594,94.008,"audio_features","52K3RIVDetSuZPzcTmIVoY","spotify:track:52K3RIVDetSuZPzcTmIVoY","https://api.spotify.com/v1/tracks/52K3RIVDetSuZPzcTmIVoY","https://api.spotify.com/v1/audio-analysis/52K3RIVDetSuZPzcTmIVoY",188013,4,"country"
"27",0.533,0.774,4,-4.126,0,0.0449,0.181,0,0.341,0.387,143.907,"audio_features","0xJTj83tDmp6H19nTm4Dl9","spotify:track:0xJTj83tDmp6H19nTm4Dl9","https://api.spotify.com/v1/tracks/0xJTj83tDmp6H19nTm4Dl9","https://api.spotify.com/v1/audio-analysis/0xJTj83tDmp6H19nTm4Dl9",187787,4,"country"
"28",0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,"audio_features","2u7Nm46dAujcAi5Rw79CJL","spotify:track:2u7Nm46dAujcAi5Rw79CJL","https://api.spotify.com/v1/tracks/2u7Nm46dAujcAi5Rw79CJL","https://api.spotify.com/v1/audio-analysis/2u7Nm46dAujcAi5Rw79CJL",182493,4,"country"
"29",0.489,0.9,7,-3.563,1,0.0488,0.0441,0,0.247,0.611,200.054,"audio_features","3IPkbTA8KkdDXyWtGkfFXa","spotify:track:3IPkbTA8KkdDXyWtGkfFXa","https://api.spotify.com/v1/tracks/3IPkbTA8KkdDXyWtGkfFXa","https://api.spotify.com/v1/audio-analysis/3IPkbTA8KkdDXyWtGkfFXa",182693,4,"country"
"30",0.791,0.715,7,-5.809,1,0.0377,0.353,0,0.115,0.593,112.027,"audio_features","5H4YGepZNnPhnOHA9vZSEP","spotify:track:5H4YGepZNnPhnOHA9vZSEP","https://api.spotify.com/v1/tracks/5H4YGepZNnPhnOHA9vZSEP","https://api.spotify.com/v1/audio-analysis/5H4YGepZNnPhnOHA9vZSEP",166787,4,"country"
"31",0.617,0.482,0,-5.121,1,0.0322,0.204,0,0.216,0.508,81.73,"audio_features","6W4DY8jGf8POlFsMQhR2E6","spotify:track:6W4DY8jGf8POlFsMQhR2E6","https://api.spotify.com/v1/tracks/6W4DY8jGf8POlFsMQhR2E6","https://api.spotify.com/v1/audio-analysis/6W4DY8jGf8POlFsMQhR2E6",253084,4,"country"
"32",0.557,0.571,10,-8.106,1,0.0281,0.476,0.00114,0.101,0.392,80.981,"audio_features","5slddJ629YcePvqD6Uyk8r","spotify:track:5slddJ629YcePvqD6Uyk8r","https://api.spotify.com/v1/tracks/5slddJ629YcePvqD6Uyk8r","https://api.spotify.com/v1/audio-analysis/5slddJ629YcePvqD6Uyk8r",219600,4,"country"
"33",0.588,0.408,3,-8.662,1,0.0237,0.113,0,0.13,0.484,85.008,"audio_features","0OWZFobGSIW9GrSlQ9C5pc","spotify:track:0OWZFobGSIW9GrSlQ9C5pc","https://api.spotify.com/v1/tracks/0OWZFobGSIW9GrSlQ9C5pc","https://api.spotify.com/v1/audio-analysis/0OWZFobGSIW9GrSlQ9C5pc",205453,4,"country"
