"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","Position","Track.Name","Artist","Streams","URL"
"37",0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,"audio_features","33bnxcjePIkcmNjEFTJX0l","spotify:track:33bnxcjePIkcmNjEFTJX0l","https://api.spotify.com/v1/tracks/33bnxcjePIkcmNjEFTJX0l","https://api.spotify.com/v1/audio-analysis/33bnxcjePIkcmNjEFTJX0l",220117,4,37,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",1520114,"https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l"
"38",0.775,0.679,4,-4.985,0,0.135,0.18,0.0000726,0.068,0.619,166.008,"audio_features","3Ga6eKrUFf12ouh9Yw3v2D","spotify:track:3Ga6eKrUFf12ouh9Yw3v2D","https://api.spotify.com/v1/tracks/3Ga6eKrUFf12ouh9Yw3v2D","https://api.spotify.com/v1/audio-analysis/3Ga6eKrUFf12ouh9Yw3v2D",193456,4,38,"Downtown","Anitta",1490527,"https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D"
"39",0.725,0.719,11,-5.885,0,0.0545,0.0739,0,0.148,0.57,140.01,"audio_features","5jyyPsIGM2yqkZN9R3TmvN","spotify:track:5jyyPsIGM2yqkZN9R3TmvN","https://api.spotify.com/v1/tracks/5jyyPsIGM2yqkZN9R3TmvN","https://api.spotify.com/v1/audio-analysis/5jyyPsIGM2yqkZN9R3TmvN",238893,4,39,"The Ways (with Swae Lee)","Khalid",1487139,"https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN"
"40",0.764,0.468,2,-8.48,1,0.274,0.0225,0,0.26,0.36,131.026,"audio_features","4LmAnpjlhWTahvRkYR8xJa","spotify:track:4LmAnpjlhWTahvRkYR8xJa","https://api.spotify.com/v1/tracks/4LmAnpjlhWTahvRkYR8xJa","https://api.spotify.com/v1/audio-analysis/4LmAnpjlhWTahvRkYR8xJa",267427,4,40,"X (with 2 Chainz & Saudi)","ScHoolboy Q",1478914,"https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa"
"41",0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,"audio_features","630sXRhIcfwr2e4RdNtjKN","spotify:track:630sXRhIcfwr2e4RdNtjKN","https://api.spotify.com/v1/tracks/630sXRhIcfwr2e4RdNtjKN","https://api.spotify.com/v1/audio-analysis/630sXRhIcfwr2e4RdNtjKN",217440,4,41,"Rewrite The Stars","Zac Efron",1463668,"https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN"
"42",0.814,0.813,2,-3.023,0,0.0561,0.03,0.0000933,0.255,0.839,79.997,"audio_features","6Za3190Sbw39BBC77WSS1C","spotify:track:6Za3190Sbw39BBC77WSS1C","https://api.spotify.com/v1/tracks/6Za3190Sbw39BBC77WSS1C","https://api.spotify.com/v1/audio-analysis/6Za3190Sbw39BBC77WSS1C",232550,4,42,"Criminal","Natti Natasha",1439148,"https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C"
"43",0.52,0.761,4,-3.093,1,0.0853,0.256,0.00000496,0.17,0.286,141.971,"audio_features","7vGuf3Y35N4wmASOKLUVVU","spotify:track:7vGuf3Y35N4wmASOKLUVVU","https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU","https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU",180823,4,43,"Silence","Marshmello",1431094,"https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU"
"44",0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,"audio_features","2xGjteMU3E1tkEPVFBO08U","spotify:track:2xGjteMU3E1tkEPVFBO08U","https://api.spotify.com/v1/tracks/2xGjteMU3E1tkEPVFBO08U","https://api.spotify.com/v1/audio-analysis/2xGjteMU3E1tkEPVFBO08U",234707,4,44,"This Is Me","Keala Settle",1415469,"https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U"
"45",0.795,0.615,5,-5.211,0,0.0671,0.0786,0.00000298,0.0855,0.393,110.009,"audio_features","3hBBKuWJfxlIlnd9QFoC8k","spotify:track:3hBBKuWJfxlIlnd9QFoC8k","https://api.spotify.com/v1/tracks/3hBBKuWJfxlIlnd9QFoC8k","https://api.spotify.com/v1/audio-analysis/3hBBKuWJfxlIlnd9QFoC8k",199849,4,45,"What Lovers Do (feat. SZA)","Maroon 5",1383539,"https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k"
"46",0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,"audio_features","1mXVgsBdtIVeCLJnSnmtdV","spotify:track:1mXVgsBdtIVeCLJnSnmtdV","https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV","https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV",201000,4,46,"Too Good At Goodbyes","Sam Smith",1379227,"https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV"
"47",0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,"audio_features","6QgjcU0zLnzq5OrUoSZ3OK","spotify:track:6QgjcU0zLnzq5OrUoSZ3OK","https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK","https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK",163253,4,47,"Feel It Still","Portugal. The Man",1369185,"https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK"
